Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos,Team
Kadan Young,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
Oliwier Zych,POL,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
Milos Kerkez,HUN,DF,20.0,38.0,38.0,3336.0,37.1,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,,Bournemouth
Antoine Semenyo,GHA,FW,24.0,37.0,36.0,3203.0,35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,,Bournemouth
Illia Zabarnyi,UKR,DF,21.0,36.0,35.0,3109.0,34.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,Bournemouth
Lewis Cook,ENG,MF,27.0,36.0,32.0,2978.0,33.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,DF,Bournemouth
Kepa Arrizabalaga,ESP,GK,29.0,31.0,31.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,Bournemouth
Justin Kluivert,NED,MF,25.0,34.0,29.0,2340.0,26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,,Bournemouth
Evanilson,BRA,FW,24.0,31.0,28.0,2319.0,25.8,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,,Bournemouth
Ryan Christie,SCO,MF,29.0,29.0,27.0,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,,Bournemouth
Dean Huijsen,ESP,DF,19.0,32.0,26.0,2427.0,27.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,,Bournemouth
Dango Ouattara,BFA,FW,22.0,32.0,21.0,2005.0,22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,,Bournemouth
Tyler Adams,USA,MF,25.0,28.0,21.0,1965.0,21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,,Bournemouth
Marcus Tavernier,ENG,FW,25.0,29.0,20.0,1939.0,21.5,3.0,5.0,8.0,3.0,0.0,0.0,6.0,0.0,MF,Bournemouth
Adam Smith,ENG,DF,33.0,25.0,19.0,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,Bournemouth
Marcos Senesi,ARG,DF,27.0,17.0,13.0,1106.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,Bournemouth
David Brooks,WAL,FW,27.0,29.0,9.0,960.0,10.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,MF,Bournemouth
Alex Scott,ENG,MF,20.0,20.0,8.0,755.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,Bournemouth
Julian Araujo,MEX,DF,22.0,12.0,7.0,497.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Bournemouth
James Hill,ENG,DF,22.0,10.0,6.0,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,Bournemouth
Mark Travers,IRL,GK,25.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Enes Ünal,TUR,FW,27.0,17.0,2.0,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,MF,Bournemouth
Neto,BRA,GK,35.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Luis Sinisterra,COL,FW,25.0,12.0,1.0,236.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,MF,Bournemouth
Philip Billing,DEN,MF,28.0,10.0,1.0,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Bournemouth
Max Aarons,ENG,DF,24.0,3.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Daniel Jebbison,CAN,FW,20.0,16.0,0.0,119.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,Bournemouth
Ben Winterburn,ENG,MF,19.0,4.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Bournemouth
Julio Soler,ARG,DF,19.0,3.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Bournemouth
Remy Rees-Dottin,ENG,FW,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Zain Silcott-Duberry,MSR,FW,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Daniel Adu-Adjei,ENG,FW,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Matai Akinmboni,USA,DF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Jaidon Anthony,ENG,FW,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Bournemouth
Will Dennis,ENG,GK,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Archie Harris,WAL,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Hamed Junior Traorè,CIV,FW,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Bournemouth
Callan Mckenna,SCO,GK,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Dominic Sadi,ENG,MF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Maxwell Wellings,ENG,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bournemouth
Nathan Collins,IRL,DF,23.0,38.0,38.0,3420.0,38.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,,Brentford
Bryan Mbeumo,CMR,FW,24.0,38.0,38.0,3414.0,37.9,20.0,7.0,27.0,15.0,5.0,6.0,3.0,0.0,,Brentford
Mark Flekken,NED,GK,31.0,37.0,37.0,3275.0,36.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,Brentford
Keane Lewis-Potter,ENG,DF,23.0,38.0,36.0,3093.0,34.4,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,FW,Brentford
Yoane Wissa,COD,FW,27.0,35.0,34.0,2919.0,32.4,19.0,4.0,23.0,19.0,0.0,0.0,5.0,0.0,,Brentford
Mikkel Damsgaard,DEN,MF,24.0,38.0,34.0,2911.0,32.3,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,FW,Brentford
Christian Nørgaard,DEN,MF,30.0,34.0,34.0,2819.0,31.3,5.0,4.0,9.0,5.0,0.0,0.0,8.0,1.0,,Brentford
Sepp van den Berg,NED,DF,22.0,31.0,29.0,2586.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,Brentford
Vitaly Janelt,GER,MF,26.0,32.0,27.0,2254.0,25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,,Brentford
Kevin Schade,GER,FW,22.0,38.0,26.0,2293.0,25.5,11.0,2.0,13.0,11.0,0.0,0.0,3.0,0.0,,Brentford
Ethan Pinnock,JAM,DF,31.0,22.0,21.0,1913.0,21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,Brentford
Kristoffer Ajer,NOR,DF,26.0,24.0,17.0,1438.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,Brentford
Yehor Yarmoliuk,UKR,MF,20.0,31.0,15.0,1450.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,Brentford
Mads Roerslev,DEN,DF,25.0,19.0,11.0,1101.0,12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,Brentford
Mathias Jensen,DEN,MF,28.0,24.0,8.0,862.0,9.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,Brentford
Michael Kayode,ITA,DF,20.0,12.0,6.0,528.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,Brentford
Fabio Carvalho,POR,FW,21.0,19.0,3.0,455.0,5.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,MF,Brentford
Ben Mee,ENG,DF,34.0,7.0,2.0,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Brentford
Thiago,BRA,FW,23.0,8.0,1.0,175.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Brentford
Hákon Valdimarsson,ISL,GK,22.0,2.0,1.0,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Edmond-Paris Maghoma,ENG,MF,23.0,8.0,0.0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Brentford
Rico Henry,ENG,DF,27.0,5.0,0.0,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Yunus Emre Konak,TUR,FW,18.0,10.0,0.0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Brentford
Kim Jisoo,KOR,DF,19.0,3.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Frank Onyeka,NGA,MF,26.0,2.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Gustavo Nunes,BRA,FW,18.0,3.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Brentford
Jayden Meghoma,ENG,DF,18.0,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Ryan Trevitt,ENG,MF,21.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Benjamin Arthur,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Julian Eyestone,USA,GK,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Benjamin Fredrick,NGA,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Aaron Hickey,SCO,DF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Brentford
Iwan Morgan,WAL,FW,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Myles Peart-Harris,ENG,MF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Tony Yogane,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brentford
Bart Verbruggen,NED,GK,21.0,36.0,36.0,3240.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,,Brighton
Jan Paul van Hecke,NED,DF,24.0,34.0,33.0,2958.0,32.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,,Brighton
Carlos Baleba,CMR,MF,20.0,34.0,31.0,2661.0,29.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,,Brighton
Kaoru Mitoma,JPN,FW,27.0,36.0,28.0,2603.0,28.9,10.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,MF,Brighton
Pervis Estupiñán,ECU,DF,26.0,30.0,26.0,2402.0,26.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,,Brighton
Danny Welbeck,ENG,FW,33.0,30.0,24.0,2115.0,23.5,10.0,4.0,14.0,9.0,1.0,1.0,5.0,0.0,,Brighton
Lewis Dunk,ENG,DF,32.0,25.0,23.0,2083.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,Brighton
João Pedro,BRA,FW,22.0,27.0,23.0,1948.0,21.6,10.0,6.0,16.0,5.0,5.0,5.0,4.0,1.0,MF,Brighton
Yasin Ayari,SWE,MF,20.0,34.0,22.0,1965.0,21.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,,Brighton
Jack Hinshelwood,ENG,MF,19.0,26.0,22.0,1842.0,20.5,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,DF,Brighton
Yankuba Minteh,GAM,FW,20.0,32.0,20.0,1838.0,20.4,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,MF,Brighton
Joël Veltman,NED,DF,32.0,21.0,19.0,1697.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,Brighton
Georginio Rutter,FRA,MF,22.0,28.0,19.0,1656.0,18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,FW,Brighton
Simon Adingra,CIV,FW,22.0,29.0,12.0,1097.0,12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,MF,Brighton
Matt O'Riley,DEN,MF,23.0,21.0,11.0,938.0,10.4,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,,Brighton
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Adam Webster,ENG,DF,29.0,14.0,11.0,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Brighton
Mats Wieffer,NED,DF,24.0,25.0,10.0,1015.0,11.3,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,MF,Brighton
Igor,BRA,DF,26.0,13.0,10.0,961.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,Brighton
Tariq Lamptey,GHA,DF,23.0,15.0,10.0,860.0,9.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,,Brighton
Brajan Gruda,GER,MF,20.0,21.0,8.0,687.0,7.6,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,FW,Brighton
Ferdi Kadioglu,TUR,DF,24.0,6.0,5.0,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,MF,Brighton
Diego Gómez,PAR,MF,21.0,16.0,4.0,516.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,Brighton
James Milner,ENG,MF,38.0,4.0,3.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Brighton
Julio Enciso,PAR,MF,20.0,12.0,2.0,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,Brighton
Evan Ferguson,IRL,FW,19.0,13.0,2.0,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,Brighton
Jason Steele,ENG,GK,33.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Solly March,ENG,FW,30.0,8.0,1.0,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MF,Brighton
Billy Gilmour,SCO,MF,23.0,2.0,1.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Eiran Cashin,IRL,DF,22.0,2.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Jakub Moder,POL,MF,25.0,4.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Jeremy Sarmiento,ECU,MF,22.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Harry Howell,ENG,FW,15.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Valentín Barco,ARG,DF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Brighton
Killian Cahill,IRL,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Joe Knight,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
Ruairi Mcconville,NIR,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Brighton
